label,image_path
psoriasis,test_out/0.jpg
psoriasis,test_out/1.jpg
psoriasis,test_out/2.jpg
psoriasis,test_out/3.jpg
psoriasis,test_out/4.jpg
psoriasis,test_out/5.jpg
psoriasis,test_out/6.jpg
psoriasis,test_out/7.jpg
psoriasis,test_out/8.jpg
psoriasis,test_out/9.jpg
psoriasis,test_out/10.jpg
psoriasis,test_out/11.jpg
psoriasis,test_out/12.jpg
psoriasis,test_out/13.jpg
psoriasis,test_out/14.jpg
psoriasis,test_out/15.jpg
psoriasis,test_out/16.jpg
psoriasis,test_out/17.jpg
psoriasis,test_out/18.jpg
psoriasis,test_out/19.jpg
psoriasis,test_out/20.jpg
psoriasis,test_out/21.jpg
psoriasis,test_out/22.jpg
psoriasis,test_out/23.jpg
psoriasis,test_out/24.jpg
psoriasis,test_out/25.jpg
psoriasis,test_out/26.jpg
psoriasis,test_out/27.jpg
psoriasis,test_out/28.jpg
psoriasis,test_out/29.jpg
psoriasis,test_out/30.jpg
psoriasis,test_out/31.jpg
psoriasis,test_out/32.jpg
psoriasis,test_out/33.jpg
psoriasis,test_out/34.jpg
psoriasis,test_out/35.jpg
psoriasis,test_out/36.jpg
psoriasis,test_out/37.jpg
psoriasis,test_out/38.jpg
psoriasis,test_out/39.jpg
psoriasis,test_out/40.jpg
psoriasis,test_out/41.jpg
psoriasis,test_out/42.jpg
psoriasis,test_out/43.jpg
psoriasis,test_out/44.jpg
psoriasis,test_out/45.jpg
psoriasis,test_out/46.jpg
psoriasis,test_out/47.jpg
psoriasis,test_out/48.jpg
psoriasis,test_out/49.jpg
psoriasis,test_out/50.jpg
psoriasis,test_out/51.jpg
psoriasis,test_out/52.jpg
psoriasis,test_out/53.jpg
psoriasis,test_out/54.jpg
psoriasis,test_out/55.jpg
psoriasis,test_out/56.jpg
psoriasis,test_out/57.jpg
psoriasis,test_out/58.jpg
psoriasis,test_out/59.jpg
psoriasis,test_out/60.jpg
psoriasis,test_out/61.jpg
psoriasis,test_out/62.jpg
psoriasis,test_out/63.jpg
psoriasis,test_out/64.jpg
psoriasis,test_out/65.jpg
psoriasis,test_out/66.jpg
psoriasis,test_out/67.jpg
psoriasis,test_out/68.jpg
psoriasis,test_out/69.jpg
psoriasis,test_out/70.jpg
psoriasis,test_out/71.jpg
psoriasis,test_out/72.jpg
psoriasis,test_out/73.jpg
psoriasis,test_out/74.jpg
psoriasis,test_out/75.jpg
psoriasis,test_out/76.jpg
psoriasis,test_out/77.jpg
psoriasis,test_out/78.jpg
psoriasis,test_out/79.jpg
psoriasis,test_out/80.jpg
psoriasis,test_out/81.jpg
psoriasis,test_out/82.jpg
psoriasis,test_out/83.jpg
psoriasis,test_out/84.jpg
psoriasis,test_out/85.jpg
psoriasis,test_out/86.jpg
psoriasis,test_out/87.jpg
psoriasis,test_out/88.jpg
psoriasis,test_out/89.jpg
psoriasis,test_out/90.jpg
psoriasis,test_out/91.jpg
psoriasis,test_out/92.jpg
psoriasis,test_out/93.jpg
psoriasis,test_out/94.jpg
psoriasis,test_out/95.jpg
psoriasis,test_out/96.jpg
psoriasis,test_out/97.jpg
psoriasis,test_out/98.jpg
psoriasis,test_out/99.jpg
psoriasis,test_out/100.jpg
psoriasis,test_out/101.jpg
psoriasis,test_out/102.jpg
psoriasis,test_out/103.jpg
psoriasis,test_out/104.jpg
psoriasis,test_out/105.jpg
psoriasis,test_out/106.jpg
psoriasis,test_out/107.jpg
psoriasis,test_out/108.jpg
psoriasis,test_out/109.jpg
psoriasis,test_out/110.jpg
psoriasis,test_out/111.jpg
psoriasis,test_out/112.jpg
psoriasis,test_out/113.jpg
psoriasis,test_out/114.jpg
psoriasis,test_out/115.jpg
psoriasis,test_out/116.jpg
psoriasis,test_out/117.jpg
psoriasis,test_out/118.jpg
psoriasis,test_out/119.jpg
psoriasis,test_out/120.jpg
psoriasis,test_out/121.jpg
psoriasis,test_out/122.jpg
psoriasis,test_out/123.jpg
psoriasis,test_out/124.jpg
psoriasis,test_out/125.jpg
psoriasis,test_out/126.jpg
psoriasis,test_out/127.jpg
psoriasis,test_out/128.jpg
psoriasis,test_out/129.jpg
psoriasis,test_out/130.jpg
psoriasis,test_out/131.jpg
psoriasis,test_out/132.jpg
psoriasis,test_out/133.jpg
psoriasis,test_out/134.jpg
psoriasis,test_out/135.jpg
psoriasis,test_out/136.jpg
psoriasis,test_out/137.jpg
psoriasis,test_out/138.jpg
psoriasis,test_out/139.jpg
psoriasis,test_out/140.jpg
psoriasis,test_out/141.jpg
psoriasis,test_out/142.jpg
psoriasis,test_out/143.jpg
psoriasis,test_out/144.jpg
psoriasis,test_out/145.jpg
psoriasis,test_out/146.jpg
psoriasis,test_out/147.jpg
psoriasis,test_out/148.jpg
psoriasis,test_out/149.jpg
psoriasis,test_out/150.jpg
psoriasis,test_out/151.jpg
psoriasis,test_out/152.jpg
psoriasis,test_out/153.jpg
psoriasis,test_out/154.jpg
psoriasis,test_out/155.jpg
psoriasis,test_out/156.jpg
psoriasis,test_out/157.jpg
psoriasis,test_out/158.jpg
psoriasis,test_out/159.jpg
psoriasis,test_out/160.jpg
psoriasis,test_out/161.jpg
psoriasis,test_out/162.jpg
psoriasis,test_out/163.jpg
psoriasis,test_out/164.jpg
psoriasis,test_out/165.jpg
psoriasis,test_out/166.jpg
